latitude,longitude,id_package,guide_ivoy,guide,valid_info,description,id_client
19.439390700000000000000000000000,-99.269783499999990000000000000000,1055647,002034053P001055647,07615196237300100030,2,"Paquete en almacen iVoy",78788
0.000000000000000000000000000000,0.000000000000000000000000000000,1055648,002001224P001055648,07915202009100100036,2,"Paquete en almacen iVoy",78792
19.385849100000000000000000000000,-99.148481800000000000000000000000,1055649,002034054P001055649,07615201487100100032,2,"Paquete en almacen iVoy",78788
19.366667800000000000000000000000,-99.156427499999990000000000000000,1055650,002034056P001055650,07915202442400100038,2,"Paquete en almacen iVoy",78792
0.000000000000000000000000000000,0.000000000000000000000000000000,1055651,002034055P001055651,07615195987800100030,1,"Paquete en almacen iVoy",78788
19.363773900000000000000000000000,-99.232417300000000000000000000000,1055654,002034058P001055654,07915211802100100031,2,"Paquete en almacen iVoy",78792
19.506120500000000000000000000000,-99.211636300000000000000000000000,1055656,002034059P001055656,07915196816200100039,2,"Paquete en almacen iVoy",78792
0.000000000000000000000000000000,0.000000000000000000000000000000,1055657,002034060P001055657,07915201610400100032,1,"Paquete en almacen iVoy",78792
19.357168500000000000000000000000,-99.079848900000000000000000000000,1055658,002034062P001055658,07915202456300100036,2,"Paquete en almacen iVoy",78792
19.533292700000000000000000000000,-99.239367300000000000000000000000,1055659,002034066P001055659,07915215950800100038,2,"Paquete en almacen iVoy",78792
0.000000000000000000000000000000,0.000000000000000000000000000000,1055660,002034061P001055660,07615201670500100034,1,"Paquete en almacen iVoy",78788
19.366482500000000000000000000000,-99.212357099999990000000000000000,1055661,002034070P001055661,07915112337100100038,2,"Paquete en almacen iVoy",78792
19.302191700000000000000000000000,-99.108401100000000000000000000000,1055662,002034064P001055662,07915200756300100039,2,"Paquete en almacen iVoy",78792
19.311534900000000000000000000000,-99.150681200000000000000000000000,1055663,002034063P001055663,07915215900900100032,2,"Paquete en almacen iVoy",78792
19.280157800000000000000000000000,-99.212530600000000000000000000000,1055664,002034073P001055664,07915196900900100038,2,"Paquete en almacen iVoy",78792
19.551958500000000000000000000000,-99.039475599999990000000000000000,1055665,002034065P001055665,07615200980300100037,2,"Paquete en almacen iVoy",78788
19.586886500000000000000000000000,-99.175218899999990000000000000000,1055666,002034068P001055666,07615201788700100034,2,"Paquete en almacen iVoy",78788
19.354720100000000000000000000000,-99.155203700000000000000000000000,1055667,002034067P001055667,07615199078400100035,2,"Paquete en almacen iVoy",78788
19.361188200000000000000000000000,-99.172060899999990000000000000000,1055668,002034074P001055668,07915202029000100035,2,"Paquete en almacen iVoy",78792
19.383609100000000000000000000000,-99.012641100000000000000000000000,1055669,002034071P001055669,07915120458400100036,2,"Paquete en almacen iVoy",78792
19.350901500000000000000000000000,-99.089595899999990000000000000000,1055670,002034072P001055670,07615197960800100031,2,"Paquete en almacen iVoy",78788
0.000000000000000000000000000000,0.000000000000000000000000000000,1055671,002034069P001055671,07615196946500100039,1,"Paquete en almacen iVoy",78788
19.651125400000000000000000000000,-99.251718099999990000000000000000,1055672,002034076P001055672,07615201591600100031,2,"Paquete en almacen iVoy",78788
19.325035500000000000000000000000,-99.214243900000000000000000000000,1055673,002034075P001055673,07915122650700100039,2,"Paquete en almacen iVoy",78792
19.387435700000000000000000000000,-99.179544499999990000000000000000,1055674,002034082P001055674,07615201969200100032,2,"Paquete en almacen iVoy",78788
19.514579200000000000000000000000,-99.252644199999990000000000000000,1055676,002034077P001055676,07615201704100100030,2,"Paquete en almacen iVoy",78788
19.448465700000000000000000000000,-99.142545300000000000000000000000,1055677,002034078P001055677,07915202585800100038,2,"Paquete en almacen iVoy",78792
19.574662800000000000000000000000,-99.058266800000000000000000000000,1055678,002034083P001055678,07615203093100100033,2,"Paquete en almacen iVoy",78788
0.000000000000000000000000000000,0.000000000000000000000000000000,1055679,002034081P001055679,07915215281800100033,1,"Paquete en almacen iVoy",78792
0.000000000000000000000000000000,0.000000000000000000000000000000,1055680,002034080P001055680,07615196173000100034,1,"Paquete en almacen iVoy",78788
19.532663800000000000000000000000,-99.178664400000000000000000000000,1055681,002034079P001055681,07615200825400100030,2,"Paquete en almacen iVoy",78788
0.000000000000000000000000000000,0.000000000000000000000000000000,1055683,002034085P001055683,07615077099000100033,1,"Paquete en almacen iVoy",78788
19.450859400000000000000000000000,-99.086790200000000000000000000000,1055684,002034086P001055684,07615097763800100039,2,"Paquete en almacen iVoy",78788
19.377295300000000000000000000000,-99.163929500000000000000000000000,1055685,002034088P001055685,07615108566300100036,2,"Paquete en almacen iVoy",78788
19.406241500000000000000000000000,-99.277648800000000000000000000000,1055686,002034089P001055686,07615174763400100031,2,"Paquete en almacen iVoy",78788
0.000000000000000000000000000000,0.000000000000000000000000000000,1055688,002034091P001055688,07915148175600100036,1,"Paquete en almacen iVoy",78792
0.000000000000000000000000000000,0.000000000000000000000000000000,1055690,002034094P001055690,07915196179900100038,1,"Paquete en almacen iVoy",78792
19.371491200000000000000000000000,-98.989676100000000000000000000000,1055691,002034097P001055691,07615172350000100039,2,"Paquete en almacen iVoy",78788
0.000000000000000000000000000000,0.000000000000000000000000000000,1055692,002034095P001055692,07915194685200100033,1,"Paquete en almacen iVoy",78792
19.440669000000000000000000000000,-99.140124000000000000000000000000,1055693,002034096P001055693,07615178105200100037,2,"Paquete en almacen iVoy",78788
19.421033600000000000000000000000,-99.107205799999990000000000000000,1055694,002034098P001055694,07615201336200100032,2,"Paquete en almacen iVoy",78788
19.364839000000000000000000000000,-99.161403200000000000000000000000,1055695,002034099P001055695,07915214181900100036,2,"Paquete en almacen iVoy",78792
19.324911800000000000000000000000,-99.137814200000000000000000000000,1055696,002034101P001055696,07615202063800100030,2,"Paquete en almacen iVoy",78788
0.000000000000000000000000000000,0.000000000000000000000000000000,1055697,002034104P001055697,07915202472300100036,1,"Paquete en almacen iVoy",78792
19.320652700000000000000000000000,-99.244364400000000000000000000000,1055698,002034100P001055698,07915194591700100032,2,"Paquete en almacen iVoy",78792
19.433635700000000000000000000000,-99.139045700000000000000000000000,1055699,002034109P001055699,07615173860700100035,2,"Paquete en almacen iVoy",78788
19.667573300000000000000000000000,-99.226508700000010000000000000000,1055700,002034102P001055700,07615200245200100038,2,"Paquete en almacen iVoy",78788
19.551800600000000000000000000000,-99.174469100000000000000000000000,1055701,002034105P001055701,07615109395300100031,2,"Paquete en almacen iVoy",78788
19.290748600000000000000000000000,-99.180230700000000000000000000000,1055702,001916848P001055702,07615201832500100036,2,"Paquete en almacen iVoy",78788
19.387814900000000000000000000000,-99.261040400000000000000000000000,1055703,002034106P001055703,07915201059000100033,2,"Paquete en almacen iVoy",78792
19.281720600000000000000000000000,-99.185363000000000000000000000000,1055704,002034103P001055704,07615174931500100033,2,"Paquete en almacen iVoy",78788
19.470103200000000000000000000000,-99.131751200000000000000000000000,1055705,002034110P001055705,07615214372200100034,2,"Paquete en almacen iVoy",78788
19.307743500000000000000000000000,-99.083202399999990000000000000000,1055706,002034107P001055706,07915217055600100030,2,"Paquete en almacen iVoy",78792
19.472534800000000000000000000000,-99.176968800000010000000000000000,1055709,002034113P001055709,07615122638700100036,2,"Paquete en almacen iVoy",78788
